# hashcat v7.1.2 example hashes, as published by `hashcat --example-hashes`.
# One record per line: mode <TAB> name <TAB> password <TAB> hash
# Only modes whose Example.Hash.Format is 'plain' are listed.
# These are hashcat's own public test vectors; the password is always
# the one hashcat states cracks that record.
0	MD5	hashcat	8743b52063cd84097a65d1633f5c74f5
10	md5($pass.$salt)	hashcat	3d83c8e717ff0e7ecfe187f088d69954:343141
11	Joomla < 2.5.18	hashcat	b78f863f2c67410c41e617f724e22f34:89384528665349271307465505333378
12	PostgreSQL	hashcat	93a8cf6a7d43e3b5bcd2dc6abb3e02c6:27032153220030464358344758762807
20	md5($salt.$pass)	hashcat	57ab8499d08c59a7211c77f557bf9425:4247
21	osCommerce, xt:Commerce	hashcat	e983672a03adcc9767b24584338eb378:00
22	Juniper NetScreen/SSG (ScreenOS)	hashcat	nKjiFErqK7TPcZdFZsZMNWPtw4Pv8n:26506173
23	Skype	hashcat	d04d74780881019341915c70d914db29:0675841
24	SolarWinds Serv-U	hashcat	e983672a03adcc9767b24584338eb378:00
30	md5(utf16le($pass).$salt)	hashcat	1169500a7dfece72e1f7fc9c9410867a:687430237020
40	md5($salt.utf16le($pass))	hashcat	23a8a90599fc5d0d15265d4d3b565f6e:58802707
50	HMAC-MD5 (key = $pass)	hashcat	e28e4e37e972a945e464b5226053bac0:40
60	HMAC-MD5 (key = $salt)	hashcat	7f51edecfa6fb401a0b5e63d33fc8c0e:84143
70	md5(utf16le($pass))	hashcat	2303b15bfa48c74a74758135a0df1201
100	SHA1	hashcat	b89eaac7e61417341b710b727768294d0e6a277b
101	nsldap, SHA-1(Base64), Netscape LDAP SHA	hashcat	{SHA}uJ6qx+YUFzQbcQtyd2gpTQ5qJ3s=
110	sha1($pass.$salt)	hashcat	848952984db93bdd2d0151d4ecca6ea44fcf49e3:30007548152
111	nsldaps, SSHA-1(Base64), Netscape LDAP SSHA	hashcat	{SSHA}FLzWcQqyle6Mo7NvrwXCMAmRzXQxNjYxMTYzNw==
112	Oracle S: Type (Oracle 11+)	hashcat	63ec5f6113843f5d229e2d49c068d983a9670d02:57677783202322766743
120	sha1($salt.$pass)	hashcat	a428863972744b16afef28e0087fc094b44bb7b1:465727565
121	SMF (Simple Machines Forum) > v1.1	hashcat	d27c0a627a45db487af161fcc3a4005d88eb8a1f:25551135
122	macOS v10.4, macOS v10.5, macOS v10.6	hashcat	86586886b8bd3c379d2e176243a7225e6aae969d293fe9a9
124	Django (SHA-1)	hashcat	sha1$fe76b$02d5916550edf7fc8c886f044887f4b1abf9b013
125	ArubaOS	hashcat	83377286015bcebb857b23b94331e2b316b6ecbe9fbf26c4fc
130	sha1(utf16le($pass).$salt)	hashcat	0a9e4591f539a77cd3af67bae207d250bc86bac6:23240710432
131	MSSQL (2000)	HASHCAT	0x0100778883860000000000000000000000000000000000000000eda3604e067a06f2732b05b9cb90b8a710996939
132	MSSQL (2005)	hashcat	0x010045083578bf13a6e30ca29c40e540813772754d54a5ffd325
133	PeopleSoft	hashcat	uXmFVrdBvv293L9kDR3VnRmx4ZM=
140	sha1($salt.utf16le($pass))	hashcat	03b83421e2aa6d872d1f8dee001dc226ef01722b:818436
141	Episerver 6.x < .NET 4	hashcat	$episerver$*0*MjEwNA==*ZUgAmuaYTqAvisD0A427FA3oaWU
150	HMAC-SHA1 (key = $pass)	hashcat	02b256705348a28b1d6c0f063907979f7e0c82f8:10323
160	HMAC-SHA1 (key = $salt)	hashcat	8d7cb4d4a27a438059bb83a34d1e6cc439669168:2134817
170	sha1(utf16le($pass))	hashcat	b9798556b741befdbddcbf640d1dd59d19b1e193
200	MySQL323	hashcat	7196759210defdc0
300	MySQL4.1/MySQL5	hashcat	fcf7c1b8749cf99d88e5f34271d636178fb5d130
400	phpass	hashcat	$P$946647711V1klyitUYhtB8Yw5DMA/w.
500	md5crypt, MD5 (Unix), Cisco-IOS $1$ (MD5)	hashcat	$1$38652870$DUjsu4TTlTsOe/xxZ05uf/
501	Juniper IVE	hashcat	3u+UR6n8AgABAAAAHxxdXKmiOmUoqKnZlf8lTOhlPYy93EAkbPfs5+49YLFd/B1+omSKbW7DoqNM40/EeVnwJ8kYoXv9zy9D5C5m5A==
600	BLAKE2b-512	hashcat	$BLAKE2$296c269e70ac5f0095e6fb47693480f0f7b97ccd0307f5c3bfa4df8f5ca5c9308a0e7108e80a0a9c0ebb715e8b7109b072046c6cd5e155b4cfd2f27216283b1e
610	BLAKE2b-512($pass.$salt)	hashcat	$BLAKE2$41fcd44c789c735c08b43a871b81c8f617ca43918d38aee6cf8291c58a0b00a03115857425e5ff6f044be7a5bec8536b52d6c9992e21cd43cdca8a55bbf1f5c1:1033
620	BLAKE2b-512($salt.$pass)	hashcat	$BLAKE2$f0325fdfc3f82a014935442f7adbc069d4636d67276a85b09f8de368f122cf5195a0b780d7fee709fbf1dcd02ddcb581df84508cf1fb0f3393af1be0565491c6:3301
900	MD4	hashcat	afe04867ec7a3845145579a95f72eca7
1000	NTLM	hashcat	b4b9b02e6f09a9bd760f388b67351e2b
1100	Domain Cached Credentials (DCC), MS Cache	hashcat	c896b3c6963e03c86ade3a38370bbb09:54161084332
